CustomerId,Product_Type,Enrollment_Date,Status
15684181,Insurance,2022-04-25,Inactive
15684181,Fixed Deposit,2022-01-07,Active
15684181,Credit Card,2022-05-18,Active
15612087,Insurance,2022-09-05,Active
15752047,Insurance,2022-07-17,Inactive
15752047,Credit Card,2022-05-21,Active
15752047,Loan,2023-12-29,Active
15624592,Credit Card,2022-01-09,Active
15624592,Mutual Fund,2022-11-09,Active
15624592,Fixed Deposit,2022-10-12,Active
15573152,Insurance,2023-10-22,Inactive
15573152,Credit Card,2023-02-20,Active
15594917,Insurance,2023-11-17,Active
15594917,Fixed Deposit,2022-12-14,Active
15785542,Mutual Fund,2022-01-25,Active
15785542,Credit Card,2022-03-15,Active
15723488,Mutual Fund,2023-12-07,Active
15723488,Loan,2023-08-18,Inactive
15680920,Mutual Fund,2023-01-23,Active
15680920,Credit Card,2022-01-10,Active
15786308,Credit Card,2023-12-26,Active
15659366,Mutual Fund,2022-01-24,Active
15659366,Insurance,2022-09-30,Active
15659366,Credit Card,2022-07-15,Active
15774854,Insurance,2022-06-05,Active
15774854,Fixed Deposit,2023-04-25,Active
15725311,Fixed Deposit,2023-01-31,Active
15787155,Loan,2022-08-07,Inactive
15787155,Mutual Fund,2023-07-12,Active
15787155,Fixed Deposit,2022-09-29,Active
15727829,Insurance,2023-09-23,Inactive
15727829,Fixed Deposit,2023-08-08,Active
15733247,Insurance,2022-10-04,Active
15733247,Fixed Deposit,2023-10-28,Active
15568748,Fixed Deposit,2022-02-18,Active
15699029,Loan,2022-11-06,Active
15699029,Credit Card,2022-06-20,Active
15699029,Insurance,2023-07-23,Inactive
15774393,Credit Card,2022-05-18,Active
15774393,Fixed Deposit,2023-03-20,Inactive
15676895,Insurance,2023-09-09,Active
15637753,Fixed Deposit,2023-07-18,Active
15637753,Insurance,2022-03-20,Active
15605461,Fixed Deposit,2023-04-14,Active
15605461,Credit Card,2023-02-05,Active
15605461,Mutual Fund,2023-02-18,Active
15808473,Fixed Deposit,2023-11-08,Active
15808473,Insurance,2022-04-21,Active
15627000,Fixed Deposit,2023-04-28,Active
15627000,Mutual Fund,2022-01-28,Active
15627000,Insurance,2023-08-14,Active
15787174,Insurance,2023-08-09,Active
15787174,Loan,2023-10-08,Active
15723886,Credit Card,2022-07-08,Inactive
15723886,Insurance,2023-02-21,Active
15704769,Loan,2022-06-19,Inactive
15704769,Credit Card,2023-08-29,Inactive
15704769,Fixed Deposit,2023-02-12,Active
15772896,Credit Card,2022-06-12,Active
15711540,Mutual Fund,2023-08-20,Active
15711540,Fixed Deposit,2023-01-03,Active
15711540,Insurance,2022-02-06,Active
15764866,Loan,2022-05-29,Active
15764866,Credit Card,2022-04-10,Active
15764866,Fixed Deposit,2022-10-29,Active
15794056,Mutual Fund,2023-12-09,Active
15794056,Insurance,2023-07-14,Inactive
15794056,Credit Card,2023-03-09,Active
15795149,Credit Card,2022-06-01,Active
15795149,Fixed Deposit,2022-12-25,Active
15795149,Mutual Fund,2023-04-01,Active
15812009,Credit Card,2022-04-13,Inactive
15812009,Mutual Fund,2023-01-24,Active
15651001,Fixed Deposit,2023-10-10,Active
15813844,Loan,2023-09-26,Active
15596175,Fixed Deposit,2022-04-06,Active
15596175,Credit Card,2022-10-02,Active
15596175,Mutual Fund,2023-03-22,Inactive
15576269,Insurance,2022-02-06,Inactive
15576269,Loan,2022-12-19,Active
15797219,Credit Card,2022-11-10,Inactive
15685500,Loan,2022-08-23,Inactive
15685500,Credit Card,2023-07-15,Inactive
15685500,Insurance,2023-07-15,Inactive
15599792,Credit Card,2023-08-26,Active
15599792,Fixed Deposit,2023-09-19,Active
15657566,Credit Card,2022-09-06,Active
15657566,Mutual Fund,2022-12-17,Active
15657566,Insurance,2022-05-10,Active
15772423,Insurance,2023-06-25,Active
15628112,Insurance,2022-05-21,Inactive
15628112,Loan,2022-02-28,Active
15628112,Mutual Fund,2022-07-11,Inactive
15753754,Credit Card,2023-07-15,Active
15793726,Loan,2023-09-03,Inactive
15694717,Fixed Deposit,2023-11-06,Active
15694717,Insurance,2022-07-04,Active
15694717,Mutual Fund,2023-06-10,Active
15665834,Insurance,2023-03-29,Active
15765297,Mutual Fund,2022-08-30,Active
15765297,Loan,2023-10-24,Active
15636684,Insurance,2022-01-07,Active
15592979,Fixed Deposit,2023-01-27,Active
15592979,Mutual Fund,2022-05-04,Active
15750803,Insurance,2022-05-06,Active
15750803,Loan,2023-01-11,Active
15750803,Mutual Fund,2023-02-04,Active
15607178,Fixed Deposit,2022-09-28,Active
15607178,Credit Card,2023-06-28,Active
15607178,Insurance,2022-01-28,Active
15713853,Fixed Deposit,2022-10-26,Active
15673481,Fixed Deposit,2022-10-26,Active
15673481,Credit Card,2022-02-24,Active
15673481,Loan,2023-05-30,Inactive
15686776,Fixed Deposit,2022-09-04,Active
15673693,Fixed Deposit,2022-05-27,Inactive
15700696,Fixed Deposit,2022-08-24,Active
15700696,Loan,2023-06-01,Inactive
15700696,Insurance,2022-06-13,Active
15813163,Insurance,2023-05-19,Active
15813163,Mutual Fund,2022-08-15,Active
15813163,Credit Card,2023-11-26,Active
15653857,Credit Card,2023-05-07,Active
15777076,Fixed Deposit,2022-06-13,Active
15777076,Insurance,2023-05-14,Active
15717398,Loan,2023-04-17,Active
15717398,Mutual Fund,2023-01-19,Active
15799217,Mutual Fund,2023-12-04,Active
15787071,Loan,2022-02-12,Active
15787071,Credit Card,2023-01-16,Active
15787071,Fixed Deposit,2022-06-18,Active
15619955,Loan,2022-01-12,Active
15619955,Credit Card,2022-12-24,Active
15796505,Mutual Fund,2023-06-13,Active
15725166,Credit Card,2023-10-11,Active
15725166,Fixed Deposit,2022-09-04,Inactive
15725166,Loan,2023-12-17,Active
15800116,Fixed Deposit,2023-11-29,Active
15800116,Credit Card,2023-02-18,Active
15800116,Insurance,2023-01-05,Active
15758685,Fixed Deposit,2023-08-27,Active
15758685,Insurance,2022-09-07,Active
15694456,Fixed Deposit,2023-11-08,Active
15767339,Credit Card,2022-01-04,Active
15767339,Insurance,2022-06-11,Active
15683562,Credit Card,2023-03-05,Inactive
15683562,Mutual Fund,2022-11-25,Active
15683562,Insurance,2023-06-22,Active
15782210,Credit Card,2023-04-05,Active
15782210,Loan,2022-11-06,Active
15668893,Insurance,2022-02-03,Active
15668893,Credit Card,2023-05-16,Active
15668893,Loan,2022-04-21,Active
15669169,Credit Card,2022-11-11,Active
15643024,Insurance,2023-03-06,Inactive
15643024,Fixed Deposit,2023-08-22,Active
15643024,Loan,2023-09-23,Active
15699389,Insurance,2022-11-11,Active
15699389,Loan,2022-05-03,Active
15708608,Fixed Deposit,2023-07-25,Inactive
15708608,Insurance,2023-08-11,Active
15626144,Mutual Fund,2022-10-09,Active
15573112,Insurance,2023-06-16,Active
15573112,Credit Card,2022-07-30,Active
15790678,Fixed Deposit,2022-05-07,Active
15790678,Loan,2023-11-10,Active
15727556,Insurance,2023-05-14,Active
15727556,Credit Card,2023-05-12,Inactive
15727556,Fixed Deposit,2022-03-08,Active
15697307,Credit Card,2023-02-15,Inactive
15697307,Mutual Fund,2023-10-08,Active
15697307,Insurance,2022-09-13,Active
15652266,Mutual Fund,2023-07-05,Inactive
15607098,Fixed Deposit,2023-01-30,Active
15607098,Loan,2022-05-16,Inactive
15655774,Fixed Deposit,2023-08-17,Active
15655774,Insurance,2022-05-19,Active
15655774,Credit Card,2022-02-11,Active
15590241,Fixed Deposit,2022-11-17,Active
15590241,Credit Card,2023-07-26,Active
15785819,Mutual Fund,2022-06-22,Active
15723654,Loan,2022-10-16,Active
15723654,Mutual Fund,2023-05-05,Active
15723654,Credit Card,2022-01-08,Active
15774510,Mutual Fund,2023-07-14,Active
15684173,Insurance,2022-12-12,Active
15684173,Fixed Deposit,2023-01-08,Active
15684173,Credit Card,2023-09-09,Inactive
15650068,Mutual Fund,2023-03-13,Active
15811490,Fixed Deposit,2023-09-22,Active
15811490,Mutual Fund,2022-09-10,Active
15803976,Insurance,2023-09-21,Active
15803976,Credit Card,2023-12-28,Active
15803976,Fixed Deposit,2023-08-28,Active
15682541,Fixed Deposit,2022-01-10,Inactive
15682541,Mutual Fund,2023-11-07,Inactive
15682541,Insurance,2022-10-31,Active
15695699,Fixed Deposit,2022-07-21,Active
15695699,Loan,2023-03-13,Active
15624188,Insurance,2022-01-19,Active
15624188,Mutual Fund,2023-12-10,Active
15812191,Mutual Fund,2022-10-15,Active
15636673,Credit Card,2022-10-19,Active
15594898,Credit Card,2023-02-01,Inactive
15594898,Mutual Fund,2022-02-17,Active
15594898,Loan,2023-10-06,Active
15660211,Mutual Fund,2023-02-17,Active
15773972,Loan,2023-10-30,Active
15773972,Mutual Fund,2022-01-06,Active
15746726,Insurance,2023-06-10,Active
15746726,Fixed Deposit,2022-06-15,Active
15746726,Credit Card,2022-05-16,Active
15712287,Mutual Fund,2023-01-07,Active
15712287,Insurance,2022-07-22,Active
15702919,Credit Card,2022-04-14,Inactive
15702919,Loan,2023-05-27,Active
15702919,Insurance,2023-08-28,Active
15674398,Fixed Deposit,2023-02-05,Active
15797960,Loan,2022-03-02,Active
15797960,Insurance,2023-10-09,Active
15631868,Credit Card,2023-10-15,Inactive
15581539,Mutual Fund,2022-10-05,Active
15581539,Insurance,2022-07-13,Inactive
15581539,Fixed Deposit,2023-02-07,Active
15662736,Fixed Deposit,2023-05-04,Active
15666252,Loan,2023-06-06,Inactive
15666252,Mutual Fund,2022-01-02,Inactive
15677512,Fixed Deposit,2023-08-27,Active
15626114,Credit Card,2022-12-17,Active
15810834,Fixed Deposit,2022-11-17,Active
15678910,Insurance,2023-08-17,Active
15678910,Credit Card,2022-02-14,Inactive
15694408,Mutual Fund,2022-03-07,Active
15585215,Loan,2023-11-25,Inactive
15682757,Credit Card,2023-10-31,Active
15736601,Loan,2022-03-07,Inactive
15736601,Credit Card,2022-10-30,Active
15736601,Fixed Deposit,2023-07-26,Active
15601848,Mutual Fund,2022-03-23,Inactive
15601848,Fixed Deposit,2023-10-08,Active
15601848,Loan,2022-04-19,Inactive
15736008,Fixed Deposit,2022-03-25,Active
15736008,Credit Card,2023-07-10,Inactive
15736008,Loan,2023-01-12,Inactive
15669064,Fixed Deposit,2022-11-17,Active
15669064,Loan,2022-10-19,Active
15624528,Fixed Deposit,2022-03-02,Active
15598493,Fixed Deposit,2023-06-24,Active
15601274,Loan,2022-01-12,Active
15702669,Loan,2022-11-08,Active
15702669,Credit Card,2022-03-31,Active
15702669,Mutual Fund,2022-06-15,Inactive
15728669,Loan,2023-08-10,Active
15728669,Mutual Fund,2022-11-08,Active
15728669,Credit Card,2022-04-05,Inactive
